Index,STATION,LINENAME,unique_name,NTA dist ID,NTA dist name,Univ_near,University Name,Flatiron district,Dumbo
58,183 ST,4,183 ST - 4,,,N,,N,N
59,190 ST,A,190 ST - A,,,N,,N,N
60,191 ST,1,191 ST - 1,,,N,,N,N
61,2 AV,F,2 AV - F,,,N,,N,N
62,20 AV,D,20 AV - D,,,N,,N,N
63,20 AV,N,20 AV - N,,,N,,N,N
64,207 ST,1,207 ST - 1,,,N,,N,N
65,21 ST,G,21 ST - G,,,N,,N,N
66,21 ST-QNSBRIDGE,F,21 ST-QNSBRIDGE - F,,,N,,N,N
67,215 ST,1,215 ST - 1,,,N,,N,N
68,219 ST,25,219 ST - 25,,,N,,N,N
69,225 ST,25,225 ST - 25,,,N,,N,N
70,23 ST,1,23 ST - 1,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,N,,Y,N
71,23 ST,6,23 ST - 6,,,N,,N,N
72,23 ST,CE,23 ST - CE,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,N,,Y,N
73,23 ST,FM,23 ST - FM,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,N,,Y,N
74,23 ST,NRW,23 ST - NRW,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,N,,Y,N
75,231 ST,1,231 ST - 1,,,N,,N,N
76,233 ST,25,233 ST - 25,,,N,,N,N
77,238 ST,1,238 ST - 1,,,N,,N,N
78,25 AV,D,25 AV - D,,,N,,N,N
79,25 ST,R,25 ST - R,,,N,,N,N
80,28 ST,1,28 ST - 1,MN17,Midtown-Midtown South,Y,Fashion Institute of Technology,N,N
81,28 ST,6,28 ST - 6,,,N,,N,N
82,28 ST,NRW,28 ST - NRW,MN17,Midtown-Midtown South,N,,N,N
83,3 AV,L,3 AV - L,,,N,,N,N
84,3 AV 138 ST,6,3 AV 138 ST - 6,,,N,,N,N
85,3 AV-149 ST,25,3 AV-149 ST - 25,,,N,,N,N
86,33 ST,6,33 ST - 6,MN20,Murray Hill-Kips Bay,N,,N,N
87,33 ST-RAWSON ST,7,33 ST-RAWSON ST - 7,QN31,Hunters Point-Sunnyside-West Maspeth,Y,City University of New York,N,N
88,34 ST-HERALD SQ,BDFMNQRW,34 ST-HERALD SQ - BDFMNQRW,MN17,Midtown-Midtown South,N,,N,N
89,34 ST-HUDSON YD,7,34 ST-HUDSON YD - 7,,,N,,N,N
90,34 ST-PENN STA,123,34 ST-PENN STA - 123,MN17,Midtown-Midtown South,N,,N,N
91,34 ST-PENN STA,123ACE,34 ST-PENN STA - 123ACE,,,N,,N,N
92,34 ST-PENN STA,ACE,34 ST-PENN STA - ACE,,,N,,N,N
93,36 ST,DNR,36 ST - DNR,,,N,,N,N
94,36 ST,MR,36 ST - MR,,,N,,N,N
95,39 AV,NQW,39 AV - NQW,,,N,,N,N
96,4 AV-9 ST,DFGMNR,4 AV-9 ST - DFGMNR,BK37,Park Slope-Gowanus,N,,N,N
97,40 ST LOWERY ST,7,40 ST LOWERY ST - 7,,,N,,N,N
98,42 ST-BRYANT PK,BDFM7,42 ST-BRYANT PK - BDFM7,MN17,Midtown-Midtown South,N,,N,N
99,42 ST-PORT AUTH,ACENGRS1237W,42 ST-PORT AUTH - ACENGRS1237W,MN17,Midtown-Midtown South,N,,N,N
100,42 ST-PORT AUTH,ACENQRS1237W,42 ST-PORT AUTH - ACENQRS1237W,MN17,Midtown-Midtown South,N,,N,N
101,45 ST,R,45 ST - R,,,N,,N,N
102,46 ST,MR,46 ST - MR,,,N,,N,N
103,46 ST BLISS ST,7,46 ST BLISS ST - 7,,,N,,N,N
104,47-50 STS ROCK,BDFM,47-50 STS ROCK - BDFM,MN17,Midtown-Midtown South,N,,N,N
105,49 ST,NQRW,49 ST - NQRW,MN17,Midtown-Midtown South,N,,N,N
106,4AV-9 ST,DFGMNR,4AV-9 ST - DFGMNR,,,N,,N,N
107,5 AV/53 ST,EM,5 AV/53 ST - EM,MN17,Midtown-Midtown South,N,,N,N
108,5 AV/59 ST,NQRW,5 AV/59 ST - NQRW,,,N,,N,N
109,5 AVE,7BDFM,5 AVE - 7BDFM,MN17,Midtown-Midtown South,N,,N,N
110,50 ST,1,50 ST - 1,MN17,Midtown-Midtown South,N,,N,N
111,50 ST,CE,50 ST - CE,MN17,Midtown-Midtown South,N,,N,N
112,50 ST,D,50 ST - D,,,N,,N,N
113,51 ST,6,51 ST - 6,,,N,,N,N
114,52 ST,7,52 ST - 7,,,N,,N,N
115,53 ST,R,53 ST - R,,,N,,N,N
116,55 ST,D,55 ST - D,,,N,,N,N
117,57 ST,F,57 ST - F,MN17,Midtown-Midtown South,N,,N,N
118,57 ST-7 AV,NQRW,57 ST-7 AV - NQRW,MN17,Midtown-Midtown South,N,,N,N
119,59 ST,456NQRW,59 ST - 456NQRW,MN40,Upper East Side-Carnegie Hill,N,,N,N
120,59 ST,NQR456W,59 ST - NQR456W,MN40,Upper East Side-Carnegie Hill,N,,N,N
121,59 ST,NRW,59 ST - NRW,MN40,Upper East Side-Carnegie Hill,N,,N,N
122,59 ST COLUMBUS,1ABCD,59 ST COLUMBUS - 1ABCD,MN14,Lincoln Square,N,,N,N
123,59 ST COLUMBUS,ABCD1,59 ST COLUMBUS - ABCD1,MN14,Lincoln Square,N,,N,N
124,6 AV,FLM123,6 AV - FLM123,,,N,,N,N
125,61 ST WOODSIDE,7,61 ST WOODSIDE - 7,,,N,,N,N
126,63 DR-REGO PARK,MR,63 DR-REGO PARK - MR,,,N,,N,N
127,65 ST,MR,65 ST - MR,,,N,,N,N
128,66 ST-LINCOLN,1,66 ST-LINCOLN - 1,MN14,Lincoln Square,N,,N,N
129,67 AV,MR,67 AV - MR,,,N,,N,N
130,68ST-HUNTER CO,6,68ST-HUNTER CO - 6,MN40,Upper East Side-Carnegie Hill,N,,N,N
131,69 ST,7,69 ST - 7,,,N,,N,N
132,7 AV,BDE,7 AV - BDE,MN17,Midtown-Midtown South,N,,N,N
133,7 AV,BQ,7 AV - BQ,BK64,Prospect Heights,N,,N,N
134,7 AV,FG,7 AV - FG,BK37,Park Slope-Gowanus,N,,N,N
135,71 ST,D,71 ST - D,,,N,,N,N
136,72 ST,123,72 ST - 123,MN14,Lincoln Square,N,,N,N
137,72 ST,BC,72 ST - BC,,,N,,N,N
138,72 ST-2 AVE,Q,72 ST-2 AVE - Q,,,N,,N,N
139,74 ST-BROADWAY,7EFMR,74 ST-BROADWAY - 7EFMR,,,N,,N,N
140,75 AV,EF,75 AV - EF,,,N,,N,N
141,75 ST-ELDERTS,JZ,75 ST-ELDERTS - JZ,,,N,,N,N
142,77 ST,6,77 ST - 6,MN40,Upper East Side-Carnegie Hill,N,,N,N
143,77 ST,R,77 ST - R,,,N,,N,N
144,79 ST,1,79 ST - 1,MN12,Upper West Side,N,,N,N
145,79 ST,D,79 ST - D,,,N,,N,N
146,8 AV,ACEL,8 AV - ACEL,,,N,,N,N
147,8 AV,N,8 AV - N,,,N,,N,N
148,8 ST-NYU,NRW,8 ST-NYU - NRW,MN23,West Village,Y,New York University,N,N
